slide,tube_id,section,group,H_axis1,P_axis1,risk
slide1,a2,a,Tumor-h,0.9361962460055504,1.1032638509833266,0.7688882350921631
slide1,a3,a,Tumor-h,0.979892383190286,0.7067479574497562,0.7425448894500732
slide1,a4,a,Tumor-h,1.2810868299081604,1.2423586680701164,0.7416150867938995
slide1,a6,a,Tumor-h,0.915048857578056,1.1308900723336732,0.6682297140359879
slide1,a7,a,Tumor-h,0.8614459140616201,0.8846369499291113,0.6473953276872635
slide1,a8,a,Tumor-h,0.976868774890471,1.1822384967882116,0.638302206993103
slide1,a9,a,Tumor-h,0.9471440103747032,0.0728268031195107,0.6396400531133016
slide1,a10,a,Tumor-h,0.1765432282922116,0.6417769318799599,0.6557540496190389
slide1,b1,b,Tumor-l,0.1031327960484127,0.1212344494649353,0.08340474714835484
slide1,b2,b,Tumor-l,0.3999500461087193,0.7604989080147755,0.15748412410418192
slide1,b3,b,Tumor-l,0.3485254051959793,0.5942123603757793,0.14966458640992641
slide1,b4,b,Tumor-l,0.7279095142355383,0.5283078232143478,0.17898348867893218
slide1,b5,b,Tumor-l,0.5623077819253401,0.2480473954763998,0.18014337867498398
slide1,b6,b,Tumor-l,0.4259770094947642,0.4391667638446828,0.1771395169198513
slide1,b7,b,Tumor-l,0.8637437171160939,0.7719935855714787,0.1543617583811283
slide1,b8,b,Tumor-l,0.8305096893175746,0.569619300509924,0.16773755848407745
slide1,b9,b,Tumor-l,0.3776936005776305,0.5079356292374846,0.15837732454140982
slide1,b10,b,Tumor-l,0.1898933205958103,0.2641311826410298,0.14693401753902435
slide1,b11,b,Tumor-l,0.5480844163306403,0.552998059431105,0.15976116061210632
slide1,b12,b,Tumor-l,0.4348705674348843,0.541289563231559,0.18560399115085602
slide1,b13,b,Tumor-l,-0.1835911663325376,0.5124539392193479,0.16419369876384735
slide1,b14,b,Tumor-l,0.9440688314939106,0.9490387420470118,0.26505276933312416
slide1,b15,b,Tumor-l,-0.1443205103382561,-0.2318803473620821,0.2363932989537716
slide1,b16,b,Tumor-l,0.9099373441445756,0.7364381954029448,0.22676507011055946
slide1,b17,b,Tumor-l,-0.1946010610545544,-0.2277365792672824,0.24542446061968803
slide1,b18,b,Tumor-l,0.830856555513926,1.0814742379550082,0.2442297451198101
slide1,b19,b,Tumor-l,0.885504663744826,0.4788603343854729,0.2673580199480057
slide1,b20,b,Tumor-l,0.6114363723369381,0.7675484165522134,0.2709696084260941
slide1,b21,b,Tumor-l,-0.6429500070686646,-0.4968731545406971,0.24508526623249055
slide1,c1,c,Tcell-h,-1.2333246401121531,-1.7940383910459228,0.6461309343576431
slide1,c2,c,Tcell-h,-2.1941075249290725,-1.0945104632129592,0.6408363580703735
slide1,c3,c,Tcell-h,-1.4902581343132653,-1.77633876657708,0.5322659909725189
slide1,c4,c,Tcell-h,-2.477183866813392,-1.936775237781701,0.5271709859371185
slide1,c5,c,Tcell-h,-1.2343278183360584,-1.148748617106916,0.5648272633552551
slide1,d1,d,Tcell-l,-1.2179992928958272,-1.3528732904506018,0.40831954032182693
slide1,d2,d,Tcell-l,-1.1268518279266817,-1.7690368432727737,0.42980699986219406
slide1,d3,d,Tcell-l,-1.1888234564098306,-1.2024825464512938,0.41772861033678055
slide1,d4,d,Tcell-l,0.8302513445261477,0.2311999168185653,0.4466707458098729
slide1,d5,d,Tcell-l,-0.8694234648566623,-1.0869379117924731,0.4073273837566376
slide1,d6,d,Tcell-l,-1.5730628083220035,-1.6954784648268713,0.43246834476788837
slide1,d7,d,Tcell-l,-1.1188950971968183,-1.1397374983426594,0.38599446912606555
slide1,d8,d,Tcell-l,-1.2650131124087711,-1.0870922326018593,0.36460806131362916
slide1,d9,d,Tcell-l,-1.5172318026274882,-1.7214712011790518,0.24453295767307281
slide1,t1,t,Tumor-ctrl,0.7627884799726689,0.4262404102675154,0.5333981315294901
slide1,t2,t,Tumor-ctrl,0.5903307108111114,1.2015165694185777,0.44105661660432816
slide1,t3,t,Tumor-ctrl,0.419967180715486,0.5130660321783995,0.44160088151693344
slide2,e1,e,Tumor-h,0.3130031320850036,0.4125415117504264,0.7393320947885513
slide2,e2,e,Tumor-h,0.2246087204096713,0.3907084478063289,0.6459152817726135
slide2,e3,e,Tumor-h,0.7366374284855407,0.7227352343056347,0.6723908185958862
slide2,e4,e,Tumor-h,0.2784401454588793,0.5521176694214783,0.6589565674463908
slide2,e5,e,Tumor-h,0.7453648425213653,0.6950357391072823,0.6371888717015585
slide2,e6,e,Tumor-h,0.3222297701089097,0.5076743525933154,0.6177492340405782
slide2,e7,e,Tumor-h,1.2109048458622682,1.1117143654551398,0.6504790484905243
slide2,e8,e,Tumor-h,0.8916900755510098,0.7783526553633175,0.6407572776079178
slide2,e9,e,Tumor-h,0.5615583756010789,0.6786325859912872,0.6366511583328247
slide2,e10,e,Tumor-h,0.2247687058078678,-0.2062166263740725,0.6367444296677908
slide2,e11,e,Tumor-h,0.6634835431168156,0.6928440977407321,0.6618435621261597
slide2,e12,e,Tumor-h,0.4185505567131576,0.7434429898919126,0.644543727238973
slide2,e13,e,Tumor-h,0.6405325583592767,0.6366235881078702,0.629656990369161
slide2,f1,f,Tumor-l,0.1093516539764275,0.789697661049388,0.2869280204176903
slide2,f2,f,Tumor-l,0.572996827063238,1.0466379879479606,0.3210669383406639
slide2,f3,f,Tumor-l,0.65623498477771,0.2136849671915934,0.3421897739171982
slide2,f4,f,Tumor-l,0.446854016245103,0.5637418287764103,0.3190572038292885
slide2,f5,f,Tumor-l,-0.0078167942827647,0.672972595804419,0.32717519253492355
slide2,f6,f,Tumor-l,-0.1384120356375818,0.4642566392065521,0.3331407109896342
slide2,f7,f,Tumor-l,0.2054264480559397,0.4497601556970123,0.35066454112529755
slide2,f8,f,Tumor-l,0.7059543363301508,0.5303333394392749,0.3757149204611778
slide2,f9,f,Tumor-l,0.3354077375056249,0.5180533528915804,0.3830985327561696
slide2,f10,f,Tumor-l,0.1453398021329517,0.2378650031072969,0.35256921251614887
slide2,f11,f,Tumor-l,0.5131650579557807,0.2741849683203983,0.34205831090609234
slide2,f12,f,Tumor-l,0.7690680297323556,-0.000647131791753,0.3541194647550583
slide2,f13,f,Tumor-l,-0.1009352960333381,-0.1971917293425904,0.35794357061386106
slide2,f14,f,Tumor-l,0.5389124976309629,0.1619338682279905,0.33838286250829697
slide2,f15,f,Tumor-l,1.136641927952892,0.2949780777182419,0.3667588233947754
slide2,g1,g,Tcell-h,-2.198879127253065,-2.637034246645798,0.6909281313419342
slide2,g2,g,Tcell-h,-1.7477459170017453,-2.1647715247114405,0.5451165288686752
slide2,g3,g,Tcell-h,-2.905720047927169,-2.268996689870682,0.584101527929306
